boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f70r2,f70v1,cosmological,unknown,5.186772780390622,True,2.21282766700523,1.6357334385392026,1.299103495095003,2.583609345257514
f70v1,f70v2,unknown,recipes_stars,2.8262408370991636,True,0.846418493601648,1.0334370267875939,1.1484863268128827,1.463645671075322
f70v2,f71r,recipes_stars,unknown,3.6211384064703362,True,0.9821940281103105,0.5479141562070229,0.9008455234909166,1.5130230285696467
f71r,f71v,unknown,unknown,3.3801352555097504,False,1.5795237531551727,0.7951881204101984,0.8165404555415311,1.6428468961541633
f71v,f72r1,unknown,unknown,1.6611179525735944,False,0.7706604650900556,0.7201603511320623,1.0230025673826566,1.0437353340445923
f72r1,f72r2,unknown,unknown,1.8108684776604145,False,0.7562409643184637,0.9046119819848805,1.1809394956691461,1.1631652299082262
f72r2,f72r3,unknown,unknown,2.0746150013062525,False,1.6036570430154335,1.633572538550512,1.4591687518331908,1.6927533336763472
f72r3,f72v1,unknown,unknown,1.691832703341692,False,1.883247229249571,1.6522952648332816,1.6918636994258511,1.729809724212599
f72v1,f72v2,unknown,unknown,1.285017401486909,False,2.027956111963364,2.2024313273609026,2.285412519581452,1.950204340098157
f72v2,f72v3,unknown,unknown,2.1289126142480708,False,1.688666012046555,2.3396981110236945,2.6401466199157233,2.199355839308511
f72v3,f73r,unknown,unknown,1.6110798623175522,False,1.847427402317609,2.69265750554638,3.1108518733198873,2.3155041608753573
f73r,f73v,unknown,unknown,0.6188556916030101,False,3.349223140167556,3.564140915230414,3.8574444043339193,2.847416037833725
f73v,f75r,unknown,biological_balneological,5.164504456718211,True,4.880196532428697,4.4937123747722065,4.383102725479704,4.730379022349704
f75r,f75v,biological_balneological,biological_balneological,1.3768634576086645,False,2.703073445363088,3.528562807982043,3.7293608714045225,2.8344651455895793
f75v,f76r,biological_balneological,unknown,1.539997592451996,True,1.6600897757627946,2.524587814247987,2.9634332876037397,2.1720271175166292
f76r,f76v,unknown,biological_balneological,2.206657397422005,True,1.750456378119639,1.8041878220176952,2.1178035798863086,1.969776294361412
f76v,f77r,biological_balneological,biological_balneological,2.394035945775526,False,1.8226624967269096,1.0918060517541452,1.902837731710584,1.8028355564917913
f77r,f77v,biological_balneological,biological_balneological,2.5474971883223327,False,1.7637742532092366,0.5626636502701636,1.3294607547515853,1.5508489616383296
f77v,f78r,biological_balneological,biological_balneological,3.8371478377376973,False,2.069755868538262,0.9432141661557991,0.7366894065697448,1.8967018197503758
f78r,f78v,biological_balneological,biological_balneological,1.3543902895171427,False,1.975060588157722,0.9435251245505443,1.0865500307260525,1.3398815082378654
f78v,f79r,biological_balneological,biological_balneological,2.8809179387466846,False,1.9561592141890365,1.3973211921789408,1.01518999087313,1.8123970839969479
f79r,f79v,biological_balneological,biological_balneological,1.8575562684450104,False,1.238046394185124,0.8560478212658426,0.5950378050296983,1.1366720722314188
f79v,f80r,biological_balneological,biological_balneological,2.6387612654717776,False,0.951638559054662,0.6602128296226005,0.5556312643818212,1.2015609796327154
f80r,f80v,biological_balneological,biological_balneological,1.8544047437203715,False,1.2338717669476333,0.6658587224033894,1.1095379856864351,1.2159183046894573
f80v,f81r,biological_balneological,biological_balneological,2.2046914898584764,False,1.5568422510908895,1.0782425265680284,1.3116799782589397,1.5378640614440835
f81r,f81v,biological_balneological,biological_balneological,1.1847707030463248,False,0.968189121419272,1.1633565312082816,0.8251218811694104,1.0353595592108222
f81v,f82r,biological_balneological,biological_balneological,2.4432202945699357,False,1.8556170067649218,1.3947192903538335,1.0726334748234876,1.6915475166280447
f82r,f82v,biological_balneological,biological_balneological,1.6841829141187745,False,1.4631922126579728,1.0800237704130025,0.6694356881566965,1.2242086463366117
f82v,f83r,biological_balneological,biological_balneological,3.38324245377436,False,1.9064178338277018,0.8770188882703097,0.8904005883893688,1.764269941065435
f83r,f83v,biological_balneological,biological_balneological,1.3731094474229677,False,1.2105439251498804,0.5391374707085173,0.7492063808104803,0.9679993060229615
f83v,f84r,biological_balneological,biological_balneological,2.4832633213012776,False,1.6370647491068135,0.9910102455965517,1.1775458706422461,1.5722210466617224
f84r,f84v,biological_balneological,biological_balneological,3.397943828810861,False,2.36632679294642,1.6123024124281753,1.5742215819585434,2.237698654036
